M,tempscreacio,tempsbocom,tempsdolcom,compbo,compdol
306,8.6e-05,2.48185e-06,2.43744e-06,2.63141,3.23194
307,9.9e-05,1.75515e-06,1.87182e-06,2.64313,3.28891
308,0.000101,1.74354e-06,1.88301e-06,2.61831,3.29603
309,8.5e-05,1.70999e-06,1.85554e-06,2.64563,3.3469
310,8.6e-05,1.64001e-06,1.79858e-06,2.60808,3.22075
311,8.6e-05,1.75714e-06,1.76399e-06,2.64999,3.1292
312,8.6e-05,1.62255e-06,1.77213e-06,2.62642,3.29603
313,8.6e-05,1.61544e-06,1.67955e-06,2.61419,3.08138
314,8.5e-05,1.67357e-06,1.83316e-06,2.63752,3.2411
315,8.6e-05,1.63141e-06,1.79247e-06,2.61681,3.12106
316,8.3e-05,1.61407e-06,1.77925e-06,2.56767,3.1882
317,8.6e-05,1.62817e-06,1.79044e-06,2.63278,3.17599
318,8.5e-05,1.54559e-06,1.63683e-06,2.50069,3.059
319,0.000102,1.6223e-06,1.71312e-06,2.57129,3.20651
320,8.3e-05,1.64313e-06,1.83011e-06,2.61457,3.17904
321,0.000127,1.87626e-06,1.94303e-06,2.5648,3.08545
322,0.000146,1.81963e-06,1.91556e-06,2.54871,3.13937
323,8.7e-05,2.75265e-06,5.57375e-06,2.5078,3.12309
324,0.00013,3.22777e-06,2.57172e-06,2.54858,3.17497
325,8.5e-05,1.82799e-06,1.83316e-06,2.61395,3.04374
326,8.6e-05,2.16253e-06,2.2472e-06,2.54971,3.07528
327,0.000179,2.55719e-06,2.77416e-06,2.50069,3.08647
328,8.5e-05,2.57091e-06,2.48118e-06,2.51565,3.05493
329,0.000147,8.7645e-06,2.07121e-06,2.55195,2.94914
330,0.000145,2.28627e-06,2.56358e-06,2.49707,3.12614
331,8.6e-05,2.08183e-06,2.11801e-06,2.53224,3.06714
332,0.000122,2.24959e-06,2.3469e-06,2.49894,3.08444
333,0.000131,1.80329e-06,2.01221e-06,2.54135,3.07325
334,8.6e-05,3.86329e-06,4.62055e-06,2.53137,3.06714
335,8.6e-05,5.56705e-06,4.91862e-06,2.51141,2.99898
336,0.000146,3.19795e-06,2.97864e-06,2.51628,3.01729
337,0.000187,3.29487e-06,7.42319e-06,2.51154,2.9766
338,0.000266,4.46501e-06,6.61445e-06,2.46801,3.00509
339,0.000149,5.25246e-06,5.15768e-06,2.50405,2.95626
340,8.6e-05,2.24373e-06,2.3174e-06,2.47998,2.99797
341,0.000145,2.26219e-06,2.31333e-06,2.46688,2.97253
342,0.000263,3.74467e-06,4.57579e-06,2.44817,2.91455
343,0.000297,3.48185e-06,2.48525e-06,2.49732,2.92574
344,0.000146,5.45603e-06,5.09563e-06,2.49482,2.88911
345,0.000215,5.09966e-06,4.69481e-06,2.42572,2.94507
346,8.7e-05,4.62143e-06,6.74466e-06,2.37782,2.87182
347,0.000254,3.88499e-06,3.58291e-06,2.4725,2.90743
348,0.000137,2.43158e-06,2.41607e-06,2.47936,2.88505
349,8.6e-05,1.75889e-06,1.76602e-06,2.4226,2.85453
350,8.7e-05,2.04403e-06,2.14751e-06,2.44119,2.83215
351,0.000133,2.05451e-06,2.11699e-06,2.42822,2.81282
352,8.5e-05,1.75253e-06,1.82909e-06,2.4453,2.80773
353,0.000102,1.64949e-06,1.61139e-06,2.43121,2.77518
354,0.000183,1.88362e-06,1.95219e-06,2.37969,2.8942
355,0.000168,1.70288e-06,1.70193e-06,2.47773,2.78026
356,8.6e-05,2.10365e-06,2.412e-06,2.43208,2.81689
357,0.00012,2.50617e-06,2.10885e-06,2.40514,2.82299
358,0.000143,2.38131e-06,2.14547e-06,2.41599,2.85148
359,8.5e-05,2.05451e-06,2.28179e-06,2.42435,2.81994
360,0.0001,2.12785e-06,2.36928e-06,2.39366,2.76907
361,9e-05,1.93501e-06,2.1353e-06,2.38456,2.91862
362,8.6e-05,5.72097e-06,3.37131e-06,2.35724,2.64598
363,0.000135,3.57266e-06,3.40692e-06,2.35662,2.71821
364,0.00016,3.20818e-06,3.1882e-06,2.3772,2.7294
365,8.5e-05,2.86466e-06,2.25025e-06,2.34913,2.77111
366,0.00014,3.33354e-06,3.44456e-06,2.38842,2.67243
367,8.8e-05,2.30785e-06,2.16073e-06,2.39553,2.81078
368,8.6e-05,1.59673e-06,1.63377e-06,2.29699,2.69176
369,8.5e-05,1.6576e-06,1.61241e-06,2.35936,2.65107
370,9.2e-05,1.56492e-06,1.69074e-06,2.31421,2.66938
371,0.000155,1.54784e-06,1.62055e-06,2.40389,2.66836
372,0.000149,1.69964e-06,1.76501e-06,2.35288,2.82299
373,0.0001,2.63515e-06,2.50051e-06,2.36098,2.6531
374,0.000159,2.91044e-06,2.33367e-06,2.40227,2.6531
375,0.000107,2.69901e-06,2.20651e-06,2.39217,2.62564
376,8.6e-05,1.56443e-06,1.53917e-06,2.28215,2.59308
377,8.5e-05,1.49358e-06,1.51577e-06,2.31533,2.66328
378,8.5e-05,1.47399e-06,1.4944e-06,2.38181,2.6704
379,0.000107,1.43869e-06,1.47406e-06,2.32256,2.61139
380,9.7e-05,1.42797e-06,1.43947e-06,2.3046,2.63886
381,8.2e-05,1.43258e-06,1.40387e-06,2.3762,2.5412
382,8.2e-05,1.45017e-06,1.44354e-06,2.32855,2.67752
383,9.7e-05,1.48035e-06,1.53917e-06,2.27604,2.6236
384,8.6e-05,1.43408e-06,1.49339e-06,2.29762,2.62462
385,8.5e-05,1.43645e-06,1.48932e-06,2.30211,2.55443
386,8.2e-05,1.4115e-06,1.47101e-06,2.29512,2.62564
